"co_procedimento";"co_registro_principal";"co_procedimento_compativel";"co_registro_compativel";"tp_compatibilidade";"qt_permitida";"dt_competencia"
"0211070092";"06";"0211070041";"07";"1";"0001";"201809"
"0211070092";"06";"0211070203";"07";"1";"0001";"201809"
"0211070092";"06";"0211070211";"07";"1";"0001";"201809"
"0211070106";"06";"0211070025";"07";"1";"0001";"201809"
"0211070106";"06";"0211070041";"07";"1";"0001";"201809"
"0211070106";"06";"0211070157";"07";"1";"0001";"201809"
"0211070106";"06";"0211070203";"07";"1";"0001";"201809"
"0211070106";"06";"0211070211";"07";"1";"0001";"201809"
"0211070106";"06";"0211070262";"07";"1";"0001";"201809"
"0211070297";"06";"0211070041";"07";"1";"0001";"201809"
"0211070297";"06";"0211070203";"07";"1";"0001";"201809"
"0211070297";"06";"0211070211";"07";"1";"0001";"201809"
"0211070300";"06";"0211070025";"07";"1";"0001";"201809"
"0211070300";"06";"0211070041";"07";"1";"0001";"201809"
"0211070300";"06";"0211070157";"07";"1";"0001";"201809"
"0211070300";"06";"0211070203";"07";"1";"0001";"201809"
"0211070300";"06";"0211070211";"07";"1";"0001";"201809"
"0211070300";"06";"0211070262";"07";"1";"0001";"201809"
"0211070319";"06";"0211070033";"07";"1";"0001";"201809"
"0211070319";"06";"0211070246";"07";"1";"0001";"201809"
"0211070378";"06";"0211070025";"07";"1";"0001";"201809"
"0211070378";"06";"0211070033";"07";"1";"0001";"201809"
"0211070378";"06";"0211070041";"07";"1";"0001";"201809"
"0211070378";"06";"0211070157";"07";"1";"0001";"201809"
"0211070378";"06";"0211070203";"07";"1";"0001";"201809"
"0211070378";"06";"0211070211";"07";"1";"0001";"201809"
"0211070378";"06";"0211070246";"07";"1";"0001";"201809"
"0211070378";"06";"0211070262";"07";"1";"0001";"201809"
"0211070416";"06";"0211070025";"07";"1";"0001";"201809"
"0211070416";"06";"0211070033";"07";"1";"0001";"201809"
"0211070416";"06";"0211070041";"07";"1";"0001";"201809"
"0211070416";"06";"0211070157";"07";"1";"0001";"201809"
"0211070416";"06";"0211070211";"07";"1";"0001";"201809"
"0211070416";"06";"0211070246";"07";"1";"0001";"201809"
"0211070416";"06";"0211070262";"07";"1";"0001";"201809"
"0301010102";"06";"0303050039";"07";"1";"0001";"201809"
"0301010102";"06";"0303050047";"07";"1";"0001";"201809"
"0301010102";"06";"0303050055";"07";"1";"0001";"201809"
"0301010102";"06";"0303050063";"07";"1";"0001";"201809"
"0301010102";"06";"0303050071";"07";"1";"0001";"201809"
"0301010102";"06";"0303050080";"07";"1";"0001";"201809"
"0301010102";"06";"0303050098";"07";"1";"0001";"201809"
"0301010102";"06";"0303050101";"07";"1";"0001";"201809"
"0301010102";"06";"0303050110";"07";"1";"0001";"201809"
"0301010102";"06";"0303050152";"07";"1";"0001";"201809"
"0301010102";"06";"0303050160";"07";"1";"0001";"201809"
"0301010102";"06";"0303050179";"07";"1";"0001";"201809"
"0301010102";"06";"0303050187";"07";"1";"0001";"201809"
"0301010102";"06";"0303050195";"07";"1";"0001";"201809"
"0301010102";"06";"0303050209";"07";"1";"0001";"201809"
"0301010102";"06";"0303050217";"07";"1";"0001";"201809"
"0301010102";"06";"0303050225";"07";"1";"0001";"201809"
"0301010196";"06";"0202100057";"07";"1";"0001";"201809"
"0301010196";"06";"0202100065";"07";"1";"0001";"201809"
"0301010196";"06";"0202100073";"07";"1";"0001";"201809"
"0301010196";"06";"0202100081";"07";"1";"0001";"201809"
"0301010196";"06";"0202100090";"07";"1";"0001";"201809"
"0301010196";"06";"0202100103";"07";"1";"0001";"201809"
"0301010196";"06";"0202100111";"07";"1";"0001";"201809"
"0301010200";"06";"0202100057";"07";"1";"0001";"201809"
"0301010200";"06";"0202100065";"07";"1";"0001";"201809"
"0301010200";"06";"0202100073";"07";"1";"0001";"201809"
"0301010200";"06";"0202100081";"07";"1";"0001";"201809"
"0301010200";"06";"0202100090";"07";"1";"0001";"201809"
"0301010200";"06";"0202100103";"07";"1";"0001";"201809"
"0301010200";"06";"0202100111";"07";"1";"0001";"201809"
"0301010200";"06";"0202100120";"07";"1";"0001";"201809"
"0301010200";"06";"0202100138";"07";"1";"0001";"201809"
"0301010200";"06";"0202100146";"07";"1";"0001";"201809"
"0301010200";"06";"0202100154";"07";"1";"0001";"201809"
"0301010200";"06";"0202100162";"07";"1";"0001";"201809"
"0301010218";"06";"0202050076";"07";"1";"0001";"201809"
"0301010218";"06";"0202100057";"07";"1";"0001";"201809"
"0301010218";"06";"0202100073";"07";"1";"0001";"201809"
"0301010218";"06";"0202100081";"07";"1";"0001";"201809"
"0301010218";"06";"0202100103";"07";"1";"0001";"201809"
"0301010218";"06";"0202100111";"07";"1";"0001";"201809"
"0301010218";"06";"0202100120";"07";"1";"0001";"201809"
"0301010218";"06";"0202100138";"07";"1";"0001";"201809"
"0301010218";"06";"0202100146";"07";"1";"0001";"201809"
"0301010218";"06";"0202100154";"07";"1";"0001";"201809"
"0301010218";"06";"0202100162";"07";"1";"0001";"201809"
"0301010218";"06";"0202100170";"07";"1";"0001";"201809"
"0301010218";"06";"0202100189";"07";"1";"0001";"201809"
"0301010218";"06";"0202100197";"07";"1";"0001";"201809"
"0301050015";"06";"0301050066";"07";"1";"0031";"201809"
"0301050074";"03";"0301050066";"05";"1";"0031";"201809"
"0301070016";"06";"0211070025";"07";"1";"0001";"201809"
"0301070016";"06";"0211070033";"07";"1";"0001";"201809"
"0301070016";"06";"0211070203";"07";"1";"0001";"201809"
"0301070016";"06";"0211070211";"07";"1";"0001";"201809"
"0301070032";"06";"0211070025";"07";"1";"0001";"201809"
"0301070032";"06";"0211070033";"07";"1";"0001";"201809"
"0301070032";"06";"0211070041";"07";"1";"0001";"201809"
"0301070032";"06";"0211070203";"07";"1";"0001";"201809"
"0301070032";"06";"0211070211";"07";"1";"0001";"201809"
"0301070032";"06";"0211070246";"07";"1";"0001";"201809"
"0301070032";"06";"0701030151";"07";"1";"0002";"201809"
"0301070172";"06";"0701090103";"07";"1";"0004";"201809"
"0301070172";"06";"0701090111";"07";"1";"0004";"201809"
"0301070172";"06";"0701090120";"07";"1";"0004";"201809"
"0301070172";"06";"0701090138";"07";"1";"0004";"201809"
"0301070172";"06";"0701090146";"07";"1";"0004";"201809"
"0301070172";"06";"0701090154";"07";"1";"0004";"201809"
"0301070172";"06";"0701090162";"07";"1";"0004";"201809"
"0301070172";"06";"0701090170";"07";"1";"0004";"201809"
"0301070172";"06";"0701090189";"07";"1";"0004";"201809"
"0301070172";"06";"0701090197";"07";"1";"0004";"201809"
"0301070172";"06";"0701090200";"07";"1";"0004";"201809"
"0301070172";"06";"0701090219";"07";"1";"0004";"201809"
"0301070172";"06";"0701090227";"07";"1";"0004";"201809"
"0301070172";"06";"0701090235";"07";"1";"0004";"201809"
"0301070180";"06";"0211070033";"07";"1";"0001";"201809"
"0301070180";"06";"0211070076";"07";"1";"0001";"201809"
"0301070180";"06";"0211070211";"07";"1";"0001";"201809"
"0301070180";"06";"0211070246";"07";"1";"0001";"201809"
"0301070199";"06";"0211070025";"07";"1";"0001";"201809"
"0301070199";"06";"0211070033";"07";"1";"0001";"201809"
"0301070199";"06";"0211070041";"07";"1";"0001";"201809"
"0301070199";"06";"0211070076";"07";"1";"0001";"201809"
"0301070199";"06";"0211070203";"07";"1";"0001";"201809"
"0301070199";"06";"0211070211";"07";"1";"0001";"201809"
"0301070199";"06";"0211070246";"07";"1";"0001";"201809"
"0301070199";"06";"0211070386";"07";"1";"0001";"201809"
"0301070199";"06";"0211070394";"07";"1";"0001";"201809"
"0301070199";"06";"0211070408";"07";"1";"0001";"201809"
"0301080020";"09";"0301080038";"09";"1";"0030";"201809"
"0301080020";"09";"0301080194";"09";"1";"0030";"201809"
"0301080020";"09";"0301080208";"09";"1";"0000";"201809"
"0301080020";"09";"0301080216";"09";"1";"0000";"201809"
"0301080020";"09";"0301080224";"09";"1";"0000";"201809"
"0301080020";"09";"0301080240";"09";"1";"0000";"201809"
"0301080020";"09";"0301080275";"09";"1";"0000";"201809"
"0301080020";"09";"0301080283";"09";"1";"0000";"201809"
"0301080020";"09";"0301080291";"09";"1";"0000";"201809"
"0301080020";"09";"0301080348";"09";"1";"0000";"201809"
"0301080020";"09";"0301080356";"09";"1";"0000";"201809"
"0301080038";"09";"0301080020";"09";"1";"0030";"201809"
"0301080038";"09";"0301080194";"09";"1";"0030";"201809"
"0301080038";"09";"0301080208";"09";"1";"0000";"201809"
"0301080038";"09";"0301080216";"09";"1";"0000";"201809"
"0301080038";"09";"0301080224";"09";"1";"0000";"201809"
"0301080038";"09";"0301080240";"09";"1";"0000";"201809"
"0301080038";"09";"0301080275";"09";"1";"0000";"201809"
"0301080038";"09";"0301080283";"09";"1";"0000";"201809"
"0301080038";"09";"0301080291";"09";"1";"0000";"201809"
"0301080038";"09";"0301080348";"09";"1";"0000";"201809"
"0301080038";"09";"0301080356";"09";"1";"0000";"201809"
"0301080046";"09";"0301080020";"09";"3";"0001";"201809"
"0301080046";"09";"0301080038";"09";"3";"0001";"201809"
"0301080046";"09";"0301080194";"09";"3";"0001";"201809"
"0301080046";"09";"0301080208";"09";"3";"0001";"201809"
"0301080046";"09";"0301080216";"09";"3";"0001";"201809"
"0301080046";"09";"0301080224";"09";"3";"0001";"201809"
"0301080046";"09";"0301080240";"09";"3";"0001";"201809"
"0301080046";"09";"0301080275";"09";"3";"0001";"201809"
"0301080046";"09";"0301080283";"09";"3";"0001";"201809"
"0301080046";"09";"0301080291";"09";"3";"0001";"201809"
"0301080046";"09";"0301080348";"09";"3";"0001";"201809"
"0301080046";"09";"0301080356";"09";"3";"0001";"201809"
"0301080194";"09";"0301080020";"09";"1";"0030";"201809"
"0301080194";"09";"0301080038";"09";"1";"0030";"201809"
"0301080194";"09";"0301080208";"09";"1";"0000";"201809"
"0301080194";"09";"0301080216";"09";"1";"0000";"201809"
"0301080194";"09";"0301080224";"09";"1";"0000";"201809"
"0301080194";"09";"0301080240";"09";"1";"0000";"201809"
"0301080194";"09";"0301080275";"09";"1";"0000";"201809"
"0301080194";"09";"0301080283";"09";"1";"0000";"201809"
"0301080194";"09";"0301080291";"09";"1";"0000";"201809"
"0301080194";"09";"0301080348";"09";"1";"0000";"201809"
"0301080194";"09";"0301080356";"09";"1";"0000";"201809"
"0301080208";"09";"0301080020";"09";"1";"0000";"201809"
"0301080208";"09";"0301080038";"09";"1";"0000";"201809"
"0301080208";"09";"0301080194";"09";"1";"0000";"201809"
"0301080208";"09";"0301080216";"09";"1";"0000";"201809"
"0301080208";"09";"0301080224";"09";"1";"0000";"201809"
"0301080208";"09";"0301080240";"09";"1";"0000";"201809"
"0301080208";"09";"0301080275";"09";"1";"0000";"201809"
"0301080208";"09";"0301080283";"09";"1";"0000";"201809"
"0301080208";"09";"0301080291";"09";"1";"0000";"201809"
"0301080208";"09";"0301080348";"09";"1";"0000";"201809"
"0301080208";"09";"0301080356";"09";"1";"0000";"201809"
"0301080216";"09";"0301080020";"09";"1";"0000";"201809"
"0301080216";"09";"0301080038";"09";"1";"0000";"201809"
"0301080216";"09";"0301080194";"09";"1";"0000";"201809"
"0301080216";"09";"0301080208";"09";"1";"0000";"201809"
"0301080216";"09";"0301080224";"09";"1";"0000";"201809"
"0301080216";"09";"0301080240";"09";"1";"0000";"201809"
"0301080216";"09";"0301080275";"09";"1";"0000";"201809"
"0301080216";"09";"0301080283";"09";"1";"0000";"201809"
"0301080216";"09";"0301080291";"09";"1";"0000";"201809"
"0301080216";"09";"0301080348";"09";"1";"0000";"201809"
"0301080216";"09";"0301080356";"09";"1";"0000";"201809"
"0301080224";"09";"0301080020";"09";"1";"0000";"201809"
"0301080224";"09";"0301080038";"09";"1";"0000";"201809"
"0301080224";"09";"0301080194";"09";"1";"0000";"201809"
"0301080224";"09";"0301080208";"09";"1";"0000";"201809"
"0301080224";"09";"0301080216";"09";"1";"0000";"201809"
"0301080224";"09";"0301080240";"09";"1";"0000";"201809"
"0301080224";"09";"0301080275";"09";"1";"0000";"201809"
"0301080224";"09";"0301080283";"09";"1";"0000";"201809"
"0301080224";"09";"0301080291";"09";"1";"0000";"201809"
"0301080224";"09";"0301080348";"09";"1";"0000";"201809"
"0301080224";"09";"0301080356";"09";"1";"0000";"201809"
"0301080240";"09";"0301080020";"09";"1";"0000";"201809"
"0301080240";"09";"0301080038";"09";"1";"0000";"201809"
"0301080240";"09";"0301080194";"09";"1";"0000";"201809"
"0301080240";"09";"0301080208";"09";"1";"0000";"201809"
"0301080240";"09";"0301080216";"09";"1";"0000";"201809"
"0301080240";"09";"0301080224";"09";"1";"0000";"201809"
"0301080240";"09";"0301080275";"09";"1";"0000";"201809"
"0301080240";"09";"0301080283";"09";"1";"0000";"201809"
"0301080240";"09";"0301080291";"09";"1";"0000";"201809"
"0301080240";"09";"0301080348";"09";"1";"0000";"201809"
"0301080240";"09";"0301080356";"09";"1";"0000";"201809"
"0301080275";"09";"0301080020";"09";"1";"0000";"201809"
"0301080275";"09";"0301080038";"09";"1";"0000";"201809"
"0301080275";"09";"0301080194";"09";"1";"0000";"201809"
"0301080275";"09";"0301080208";"09";"1";"0000";"201809"
"0301080275";"09";"0301080216";"09";"1";"0000";"201809"
"0301080275";"09";"0301080224";"09";"1";"0000";"201809"
"0301080275";"09";"0301080240";"09";"1";"0000";"201809"
"0301080275";"09";"0301080283";"09";"1";"0000";"201809"
"0301080275";"09";"0301080291";"09";"1";"0000";"201809"
"0301080275";"09";"0301080348";"09";"1";"0000";"201809"
"0301080275";"09";"0301080356";"09";"1";"0000";"201809"
"0301080283";"09";"0301080020";"09";"1";"0000";"201809"
"0301080283";"09";"0301080038";"09";"1";"0000";"201809"
"0301080283";"09";"0301080194";"09";"1";"0000";"201809"
"0301080283";"09";"0301080208";"09";"1";"0000";"201809"
"0301080283";"09";"0301080216";"09";"1";"0000";"201809"
"0301080283";"09";"0301080224";"09";"1";"0000";"201809"
"0301080283";"09";"0301080240";"09";"1";"0000";"201809"
"0301080283";"09";"0301080275";"09";"1";"0000";"201809"
"0301080283";"09";"0301080291";"09";"1";"0000";"201809"
"0301080283";"09";"0301080348";"09";"1";"0000";"201809"
"0301080283";"09";"0301080356";"09";"1";"0000";"201809"
"0301080291";"09";"0301080020";"09";"1";"0000";"201809"
"0301080291";"09";"0301080038";"09";"1";"0000";"201809"
"0301080291";"09";"0301080194";"09";"1";"0000";"201809"
"0301080291";"09";"0301080208";"09";"1";"0000";"201809"
"0301080291";"09";"0301080216";"09";"1";"0000";"201809"
"0301080291";"09";"0301080224";"09";"1";"0000";"201809"
"0301080291";"09";"0301080240";"09";"1";"0000";"201809"
"0301080291";"09";"0301080275";"09";"1";"0000";"201809"
"0301080291";"09";"0301080283";"09";"1";"0000";"201809"
"0301080291";"09";"0301080348";"09";"1";"0000";"201809"
"0301080291";"09";"0301080356";"09";"1";"0000";"201809"
"0301080348";"09";"0301080020";"09";"1";"0000";"201809"
"0301080348";"09";"0301080038";"09";"1";"0000";"201809"
"0301080348";"09";"0301080194";"09";"1";"0000";"201809"
"0301080348";"09";"0301080208";"09";"1";"0000";"201809"
"0301080348";"09";"0301080216";"09";"1";"0000";"201809"
"0301080348";"09";"0301080224";"09";"1";"0000";"201809"
"0301080348";"09";"0301080240";"09";"1";"0000";"201809"
"0301080348";"09";"0301080275";"09";"1";"0000";"201809"
"0301080348";"09";"0301080283";"09";"1";"0000";"201809"
"0301080348";"09";"0301080291";"09";"1";"0000";"201809"
"0301080348";"09";"0301080356";"09";"1";"0000";"201809"
"0301080356";"09";"0301080020";"09";"1";"0000";"201809"
"0301080356";"09";"0301080038";"09";"1";"0000";"201809"
"0301080356";"09";"0301080194";"09";"1";"0000";"201809"
"0301080356";"09";"0301080208";"09";"1";"0000";"201809"
"0301080356";"09";"0301080216";"09";"1";"0000";"201809"
"0301080356";"09";"0301080224";"09";"1";"0000";"201809"
"0301080356";"09";"0301080240";"09";"1";"0000";"201809"
"0301080356";"09";"0301080275";"09";"1";"0000";"201809"
"0301080356";"09";"0301080283";"09";"1";"0000";"201809"
"0301080356";"09";"0301080291";"09";"1";"0000";"201809"
"0301080356";"09";"0301080348";"09";"1";"0000";"201809"
"0301080364";"09";"0301080020";"09";"3";"0001";"201809"
"0301080364";"09";"0301080038";"09";"3";"0001";"201809"
"0301080364";"09";"0301080194";"09";"3";"0001";"201809"
"0301080364";"09";"0301080208";"09";"3";"0001";"201809"
"0301080364";"09";"0301080216";"09";"3";"0001";"201809"
"0301080364";"09";"0301080224";"09";"3";"0001";"201809"
"0301080364";"09";"0301080240";"09";"3";"0001";"201809"
"0301080364";"09";"0301080275";"09";"3";"0001";"201809"
"0301080364";"09";"0301080283";"09";"3";"0001";"201809"
"0301080364";"09";"0301080291";"09";"3";"0001";"201809"
"0301080364";"09";"0301080348";"09";"3";"0001";"201809"
"0301080364";"09";"0301080356";"09";"3";"0001";"201809"
"0301080372";"09";"0301080020";"09";"3";"0001";"201809"
"0301080372";"09";"0301080038";"09";"3";"0001";"201809"
"0301080372";"09";"0301080194";"09";"3";"0001";"201809"
"0301080372";"09";"0301080208";"09";"3";"0001";"201809"
"0301080372";"09";"0301080216";"09";"3";"0001";"201809"
"0301080372";"09";"0301080224";"09";"3";"0001";"201809"
"0301080372";"09";"0301080240";"09";"3";"0001";"201809"
"0301080372";"09";"0301080275";"09";"3";"0001";"201809"
"0301080372";"09";"0301080283";"09";"3";"0001";"201809"
"0301080372";"09";"0301080291";"09";"3";"0001";"201809"
"0301080372";"09";"0301080348";"09";"3";"0001";"201809"
"0301080372";"09";"0301080356";"09";"3";"0001";"201809"
"0301080380";"09";"0301080020";"09";"3";"0001";"201809"
"0301080380";"09";"0301080038";"09";"3";"0001";"201809"
"0301080380";"09";"0301080194";"09";"3";"0001";"201809"
"0301080380";"09";"0301080208";"09";"3";"0001";"201809"
"0301080380";"09";"0301080216";"09";"3";"0001";"201809"
"0301080380";"09";"0301080224";"09";"3";"0001";"201809"
"0301080380";"09";"0301080240";"09";"3";"0001";"201809"
"0301080380";"09";"0301080275";"09";"3";"0001";"201809"
"0301080380";"09";"0301080283";"09";"3";"0001";"201809"
"0301080380";"09";"0301080291";"09";"3";"0001";"201809"
"0301080380";"09";"0301080348";"09";"3";"0001";"201809"
"0301080380";"09";"0301080356";"09";"3";"0001";"201809"
"0301110018";"06";"0413010031";"07";"1";"0015";"201809"
"0301110018";"06";"0413010040";"07";"1";"0015";"201809"
"0301110018";"06";"0701100010";"07";"1";"0002";"201809"
"0301110018";"06";"0701100028";"07";"1";"0002";"201809"
"0301110018";"06";"0701100036";"07";"1";"0002";"201809"
"0301110018";"06";"0701100044";"07";"1";"0002";"201809"
"0301110018";"06";"0701100052";"07";"1";"0001";"201809"
"0301110018";"06";"0701100060";"07";"1";"0001";"201809"
"0301110018";"06";"0701100079";"07";"1";"0001";"201809"
"0301110018";"06";"0701100087";"07";"1";"0001";"201809"
"0301110018";"06";"0701100095";"07";"1";"0001";"201809"
"0301110018";"06";"0701100109";"07";"1";"0001";"201809"
"0301110026";"06";"0413010058";"07";"1";"0008";"201809"
"0301130051";"06";"0202010023";"07";"1";"0001";"201809"
"0301130051";"06";"0202010210";"07";"1";"0001";"201809"
"0301130051";"06";"0202010317";"07";"1";"0001";"201809"
"0301130051";"06";"0202010384";"07";"1";"0001";"201809"
"0301130051";"06";"0202010392";"07";"1";"0001";"201809"
"0301130051";"06";"0202010422";"07";"1";"0001";"201809"
"0301130051";"06";"0202010430";"07";"1";"0001";"201809"
"0301130051";"06";"0202010600";"07";"1";"0001";"201809"
"0301130051";"06";"0202010627";"07";"1";"0001";"201809"
"0301130051";"06";"0202010694";"07";"1";"0001";"201809"
"0301130051";"06";"0202020304";"07";"1";"0001";"201809"
"0301130051";"06";"0202020371";"07";"1";"0001";"201809"
"0301130051";"06";"0202030636";"07";"1";"0001";"201809"
"0301130051";"06";"0202030784";"07";"1";"0001";"201809"
"0301130051";"06";"0202030970";"07";"1";"0001";"201809"
"0301130051";"06";"0202060276";"07";"1";"0001";"201809"
"0301130051";"06";"0211080020";"07";"1";"0001";"201809"
"0301130051";"06";"0418010013";"06";"3";"0000";"201809"
"0301130051";"06";"0418010021";"06";"3";"0000";"201809"
"0301130051";"06";"0418010030";"06";"3";"0000";"201809"
"0301130060";"06";"0202010023";"07";"1";"0001";"201809"
"0301130060";"06";"0202010210";"07";"1";"0001";"201809"
"0301130060";"06";"0202010317";"07";"1";"0001";"201809"
"0301130060";"06";"0202010384";"07";"1";"0001";"201809"
"0301130060";"06";"0202010392";"07";"1";"0001";"201809"
"0301130060";"06";"0202010422";"07";"1";"0001";"201809"
"0301130060";"06";"0202010430";"07";"1";"0001";"201809"
"0301130060";"06";"0202010600";"07";"1";"0001";"201809"
"0301130060";"06";"0202010627";"07";"1";"0001";"201809"
"0301130060";"06";"0202010694";"07";"1";"0001";"201809"
"0301130060";"06";"0202010767";"07";"1";"0001";"201809"
"0301130060";"06";"0202020304";"07";"1";"0001";"201809"
"0301130060";"06";"0202020371";"07";"1";"0001";"201809"
"0301130060";"06";"0202030300";"07";"1";"0001";"201809"
"0301130060";"06";"0202030636";"07";"1";"0001";"201809"
"0301130060";"06";"0202030679";"07";"1";"0001";"201809"
"0301130060";"06";"0202030970";"07";"1";"0001";"201809"
"0301130060";"06";"0202060276";"07";"1";"0001";"201809"
"0301130060";"06";"0211080020";"07";"1";"0001";"201809"
"0301130060";"06";"0418010013";"06";"3";"0000";"201809"
"0301130060";"06";"0418010021";"06";"3";"0000";"201809"
"0301130060";"06";"0418010030";"06";"3";"0000";"201809"
"0303010037";"03";"0418010072";"04";"1";"0001";"201809"
"0303010037";"03";"0702040118";"04";"1";"0001";"201809"
"0303010037";"03";"0702040150";"04";"1";"0000";"201809"
"0303010037";"03";"0702050067";"04";"1";"0000";"201809"
"0303010037";"03";"0702050342";"04";"1";"0000";"201809"
"0303020032";"03";"0603020062";"04";"1";"0084";"201809"
"0303020032";"03";"0603020070";"04";"1";"0028";"201809"
"0303020032";"03";"0603020089";"04";"1";"0056";"201809"
"0303020032";"03";"0603020097";"04";"1";"0084";"201809"
"0303020032";"03";"0603020100";"04";"1";"0010";"201809"
"0303040068";"03";"0303040076";"03";"2";"0000";"201809"
"0303040068";"03";"0303040084";"03";"2";"0000";"201809"
"0303040076";"03";"0303040068";"03";"2";"0000";"201809"
"0303040076";"03";"0303040084";"03";"2";"0000";"201809"
"0303040084";"03";"0303040068";"03";"2";"0000";"201809"
"0303040084";"03";"0303040076";"03";"2";"0000";"201809"
"0303050012";"06";"0303050039";"07";"1";"0001";"201809"
"0303050012";"06";"0303050047";"07";"1";"0001";"201809"
"0303050012";"06";"0303050055";"07";"1";"0001";"201809"
"0303050012";"06";"0303050063";"07";"1";"0001";"201809"
"0303050012";"06";"0303050071";"07";"1";"0001";"201809"
"0303050012";"06";"0303050080";"07";"1";"0001";"201809"
"0303050012";"06";"0303050098";"07";"1";"0001";"201809"
"0303050012";"06";"0303050101";"07";"1";"0001";"201809"
"0303050012";"06";"0303050110";"07";"1";"0001";"201809"
"0303050012";"06";"0303050152";"07";"1";"0001";"201809"
"0303050012";"06";"0303050160";"07";"1";"0001";"201809"
"0303050012";"06";"0303050179";"07";"1";"0001";"201809"
"0303050012";"06";"0303050187";"07";"1";"0001";"201809"
"0303050012";"06";"0303050195";"07";"1";"0001";"201809"
"0303050012";"06";"0303050209";"07";"1";"0001";"201809"
"0303050012";"06";"0303050217";"07";"1";"0001";"201809"
"0303050012";"06";"0303050225";"07";"1";"0001";"201809"
"0303050039";"07";"0303050047";"07";"2";"0001";"201809"
"0303050039";"07";"0303050055";"07";"2";"0001";"201809"
"0303050039";"07";"0303050063";"07";"2";"0001";"201809"
"0303050039";"07";"0303050071";"07";"2";"0001";"201809"
"0303050039";"07";"0303050080";"07";"2";"0001";"201809"
"0303050039";"07";"0303050101";"07";"2";"0001";"201809"
"0303050039";"07";"0303050110";"07";"2";"0001";"201809"
"0303050039";"07";"0303050152";"07";"2";"0001";"201809"
"0303050039";"07";"0303050160";"07";"2";"0001";"201809"
"0303050039";"07";"0303050179";"07";"2";"0001";"201809"
"0303050039";"07";"0303050187";"07";"2";"0001";"201809"
"0303050039";"07";"0303050195";"07";"2";"0001";"201809"
"0303050039";"07";"0303050209";"07";"2";"0001";"201809"
"0303050039";"07";"0303050217";"07";"2";"0001";"201809"
"0303050039";"07";"0303050225";"07";"2";"0001";"201809"
"0303050047";"07";"0303050039";"07";"2";"0001";"201809"
"0303050047";"07";"0303050055";"07";"2";"0001";"201809"
"0303050047";"07";"0303050063";"07";"2";"0001";"201809"
"0303050047";"07";"0303050071";"07";"2";"0001";"201809"
"0303050047";"07";"0303050080";"07";"2";"0001";"201809"
"0303050047";"07";"0303050101";"07";"2";"0001";"201809"
"0303050047";"07";"0303050110";"07";"2";"0001";"201809"
"0303050047";"07";"0303050152";"07";"2";"0001";"201809"
"0303050047";"07";"0303050160";"07";"2";"0001";"201809"
"0303050047";"07";"0303050179";"07";"2";"0001";"201809"
"0303050047";"07";"0303050187";"07";"2";"0001";"201809"
"0303050047";"07";"0303050195";"07";"2";"0001";"201809"
"0303050047";"07";"0303050209";"07";"2";"0001";"201809"
"0303050047";"07";"0303050217";"07";"2";"0001";"201809"
"0303050047";"07";"0303050225";"07";"2";"0001";"201809"
"0303050055";"07";"0303050039";"07";"2";"0001";"201809"
"0303050055";"07";"0303050047";"07";"2";"0001";"201809"
"0303050055";"07";"0303050063";"07";"2";"0001";"201809"
"0303050055";"07";"0303050071";"07";"2";"0001";"201809"
"0303050055";"07";"0303050080";"07";"2";"0001";"201809"
"0303050055";"07";"0303050101";"07";"2";"0001";"201809"
"0303050055";"07";"0303050110";"07";"2";"0001";"201809"
"0303050055";"07";"0303050152";"07";"2";"0001";"201809"
"0303050055";"07";"0303050160";"07";"2";"0001";"201809"
"0303050055";"07";"0303050179";"07";"2";"0001";"201809"
"0303050055";"07";"0303050187";"07";"2";"0001";"201809"
"0303050055";"07";"0303050195";"07";"2";"0001";"201809"
"0303050055";"07";"0303050209";"07";"2";"0001";"201809"
"0303050055";"07";"0303050217";"07";"2";"0001";"201809"
"0303050055";"07";"0303050225";"07";"2";"0001";"201809"
"0303050063";"07";"0303050039";"07";"2";"0001";"201809"
"0303050063";"07";"0303050047";"07";"2";"0001";"201809"
"0303050063";"07";"0303050055";"07";"2";"0001";"201809"
"0303050063";"07";"0303050071";"07";"2";"0001";"201809"
"0303050063";"07";"0303050080";"07";"2";"0001";"201809"
"0303050063";"07";"0303050101";"07";"2";"0001";"201809"
"0303050063";"07";"0303050110";"07";"2";"0001";"201809"
"0303050063";"07";"0303050152";"07";"2";"0001";"201809"
"0303050063";"07";"0303050160";"07";"2";"0001";"201809"
"0303050063";"07";"0303050179";"07";"2";"0001";"201809"
"0303050063";"07";"0303050187";"07";"2";"0001";"201809"
"0303050063";"07";"0303050195";"07";"2";"0001";"201809"
"0303050063";"07";"0303050209";"07";"2";"0001";"201809"
"0303050063";"07";"0303050217";"07";"2";"0001";"201809"
"0303050063";"07";"0303050225";"07";"2";"0001";"201809"
"0303050071";"07";"0303050039";"07";"2";"0001";"201809"
"0303050071";"07";"0303050047";"07";"2";"0001";"201809"
"0303050071";"07";"0303050055";"07";"2";"0001";"201809"
"0303050071";"07";"0303050063";"07";"2";"0001";"201809"
"0303050071";"07";"0303050080";"07";"2";"0001";"201809"
"0303050071";"07";"0303050101";"07";"2";"0001";"201809"
"0303050071";"07";"0303050110";"07";"2";"0001";"201809"
"0303050071";"07";"0303050152";"07";"2";"0001";"201809"
"0303050071";"07";"0303050160";"07";"2";"0001";"201809"
"0303050071";"07";"0303050179";"07";"2";"0001";"201809"
